trade_id,timestamp_open,timestamp_close,symbol,side,leverage,quantity,entry_price,exit_price,position_value_usdt,margin_used_usdt,pnl_usdt,pnl_percent,roi_percent,fee_usdt,net_pnl_usdt,highest_price,lowest_price,max_unrealized_pnl,max_unrealized_loss,mae_percent,mfe_percent,exit_type,exit_reason,holding_minutes,holding_seconds,market_condition,volatility_atr,volume_ratio,entry_reason,entry_score,ma_distance_percent,order_id,fee_rate
T000018,2026-04-30 07:30:39,2026-04-30 07:30:39,ZEREBROUSDT,LONG,10,3629.500580720093,0.0276,,100.17421602787456,10.017421602787456,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777505439757_19,0.0002
T000019,2026-04-30 07:15:32,2026-04-30 07:35:38,SOLVUSDT,LONG,10,19305.019305019305,0.005185,0.005192,100.23166023166023,10.00965250965251,0.13513513513511957,1.350048216007559,1.350048216007559,0.020046332046332046,0.11508880308878752,0.005226,0.005181,0.7915057915057794,0.7335907335907472,0.7335907335907472,0.7915057915057794,TECHNICAL_EXIT,"時間 + 收益 (20分, PnL: 0.15 USDT)",20,1206,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777505738258_20,0.0002
T000020,2026-04-30 07:35:40,2026-04-30 07:35:40,SKYAIUSDT,LONG,10,370.4526931910795,0.26988,,99.97777283840854,9.997777283840854,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777505740730_21,0.0002
T000021,2026-04-30 07:23:43,2026-04-30 07:43:47,TACUSDT,LONG,10,6235.1914203766055,0.016034,0.015693,97.84885895997006,9.997505923431849,-2.1262002743484287,-21.267306972683112,-21.267306972683112,0.01956977179199401,-2.1457700461404228,0.016272,0.015987,1.4839755580496237,2.2883152512782097,2.2883152512782097,1.4839755580496237,TECHNICAL_EXIT,"時間 + 收益 (20分, PnL: -2.29 USDT)",20,1204,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777506227834_22,0.0002
T000022,2026-04-30 07:43:49,2026-04-30 07:43:49,SOLVUSDT,LONG,10,19516.003122560498,0.005125,,100.01951600312256,10.001951600312257,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777506229863_23,0.0002
T000023,2026-04-30 07:30:39,2026-04-30 07:50:44,ZEREBROUSDT,LONG,10,3629.500580720093,0.0276,0.027488,99.7677119628339,10.017421602787456,-0.40650406504065395,-4.057971014492789,-4.057971014492789,0.019953542392566782,-0.42645760743322075,0.02768,0.027599,0.2903600464576082,1.2848432055749133,1.2848432055749133,0.2903600464576082,TECHNICAL_EXIT,"時間 + 收益 (20分, PnL: -0.37 USDT)",20,1204,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777506644361_24,0.0002
T000024,2026-04-30 07:50:46,2026-04-30 07:50:46,NAORISUSDT,LONG,10,871.1560240439062,0.11473,,99.94773063855736,9.994773063855735,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777506646910_25,0.0002
T000025,2026-04-30 07:35:40,2026-04-30 07:55:44,SKYAIUSDT,LONG,10,370.4526931910795,0.26988,0.26904,99.66659257612802,9.997777283840854,-0.31118026228050955,-3.112494441974238,-3.112494441974238,0.019933318515225607,-0.33111358079573516,0.27288,0.26987,1.1113580795732394,0.3593391123953569,0.3593391123953569,1.1113580795732394,TECHNICAL_EXIT,"時間 + 收益 (20分, PnL: -0.31 USDT)",20,1203,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777506944435_26,0.0002
T000026,2026-04-30 07:55:46,2026-04-30 07:55:46,ZEREBROUSDT,LONG,10,3682.4274561791135,0.027147,,99.9668581528944,9.99668581528944,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777506946633_27,0.0002
T000027,2026-04-30 07:43:49,2026-04-30 08:03:52,SOLVUSDT,LONG,10,19516.003122560498,0.005125,0.005086,99.2583918813427,10.001951600312257,-0.7611241217798589,-7.609756097560968,-7.609756097560968,0.01985167837626854,-0.7809758001561274,0.00517,0.00512,0.8782201405152205,1.6198282591725333,1.6198282591725333,0.8782201405152205,TECHNICAL_EXIT,"時間 + 收益 (20分, PnL: -0.76 USDT)",20,1202,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777507432433_28,0.0002
T000028,2026-04-30 08:05:06,2026-04-30 08:05:06,SKYAIUSDT,LONG,10,370.4252481849163,0.26982,,99.94814046525413,9.994814046525413,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777507506871_29,0.0002
T000029,2026-04-30 07:55:46,2026-04-30 08:09:02,ZEREBROUSDT,LONG,10,3682.4274561791135,0.027147,0.027891,102.70658418029166,9.99668581528944,2.7397260273972535,27.40634324234715,27.40634324234715,0.02054131683605833,2.719184710561195,0.028289,0.02714,4.20533215495655,0.7512152010605366,0.7512152010605366,4.20533215495655,TRAILING_STOP,"移動止損 (最高42.1% → 當前27.3%, 回撤 14.8%)",13,795,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777507742482_30,0.0002
T000030,2026-04-30 07:50:46,2026-04-30 08:10:47,NAORISUSDT,LONG,10,871.1560240439062,0.11473,0.11422,99.50344106629497,9.994773063855735,-0.4442895722623892,-4.445219210319852,-4.445219210319852,0.019900688213258994,-0.46419026047564815,0.11485,0.11471,0.10453872288526449,1.411272758951125,1.411272758951125,0.10453872288526449,TECHNICAL_EXIT,"時間 + 收益 (20分, PnL: -0.44 USDT)",20,1200,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777507847339_31,0.0002
T000031,2026-04-30 08:12:10,2026-04-30 08:12:10,ZEREBROUSDT,LONG,10,3611.1512350137223,0.027696,,100.01444460494005,10.001444460494005,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777507930247_32,0.0002
T000032,2026-04-30 08:13:54,2026-04-30 08:13:54,NAORISUSDT,LONG,10,877.7319406653207,0.11389,,99.96489072237338,9.996489072237338,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777508034531_33,0.0002
